ticker,sector,klass,in_ntm
BANSALWIRE.NS,Metals & Mining,genuine-company,False
BANSWRAS.NS,Textiles Apparels & Accessories,genuine-company,False
BARFLEX.NS,Commercial Services & Supplies,genuine-company,False
BASF.NS,Chemicals & Petrochemicals,genuine-company,False
BASILIC.NS,Media,genuine-company,False
BASML.NS,Textiles Apparels & Accessories,genuine-company,False
BAWEJA.NS,Media,genuine-company,False
BBL.NS,Consumer Durables,genuine-company,False
BBTCL.NS,Commercial Services & Supplies,genuine-company,False
BCG.NS,Software & Services,genuine-company,False
BCLIND.NS,FMCG,genuine-company,False
BCONCEPTS.NS,Retailing,genuine-company,False
BEACON.NS,Commercial Services & Supplies,genuine-company,False
BEARDSELL.NS,Commercial Services & Supplies,genuine-company,False
BEDMUTHA.NS,Metals & Mining,genuine-company,False
BELLACASA.NS,Textiles Apparels & Accessories,genuine-company,False
BEPL.NS,Chemicals & Petrochemicals,genuine-company,False
BESTAGRO.NS,Chemicals & Petrochemicals,genuine-company,False
BETA.NS,Pharmaceuticals & Biotechnology,genuine-company,False
BEWLTD.NS,General Industrials,genuine-company,False
BFINVEST.NS,Diversified,genuine-company,False
BFUTILITIE.NS,Utilities,genuine-company,False
BGLOBAL.NS,Software & Services,genuine-company,False
BGRENERGY.NS,Utilities,genuine-company,False
BHADORA.NS,Consumer Durables,genuine-company,False
BHAGCHEM.NS,Chemicals & Petrochemicals,genuine-company,False
BHAGERIA.NS,Chemicals & Petrochemicals,genuine-company,False
BHAGYANGR.NS,Metals & Mining,genuine-company,False
BHANDARI.NS,Textiles Apparels & Accessories,genuine-company,False
BHARATCOAL.NS,Metals & Mining,genuine-company,False
BHARATGEAR.NS,Automobiles & Auto Components,genuine-company,False
BHARATRAS.NS,Chemicals & Petrochemicals,genuine-company,False
BHARATSE.NS,Automobiles & Auto Components,genuine-company,False
BHARATWIRE.NS,Metals & Mining,genuine-company,False
BIGBLOC.NS,Cement and Construction,genuine-company,False
BIKEWO.NS,Retailing,genuine-company,False
BIL.NS,Textiles Apparels & Accessories,genuine-company,False
BILVYAPAR.NS,Media,genuine-company,False
BIOFILCHEM.NS,Pharmaceuticals & Biotechnology,genuine-company,False
BIOPOL.NS,Chemicals & Petrochemicals,genuine-company,False
BIRDYS.NS,Hotels Restaurants & Tourism,genuine-company,False
BIRET.NS,Realty,genuine-company,False
BIRLACABLE.NS,Telecommunications Equipment,genuine-company,False
BIRLANU.NS,Cement and Construction,genuine-company,False
BLAL.NS,Realty,genuine-company,False
BLISSGVS.NS,Pharmaceuticals & Biotechnology,genuine-company,False
BLKASHYAP.NS,Cement and Construction,genuine-company,False
BLSE.NS,Commercial Services & Supplies,genuine-company,False
BLUECOAST.NS,Hotels Restaurants & Tourism,genuine-company,False
BLUEPEBBLE.NS,Commercial Services & Supplies,genuine-company,False
BLUEWATER.NS,Transportation,genuine-company,False
BLUSPRING.NS,Commercial Services & Supplies,genuine-company,False
BMETRICS.NS,Commercial Services & Supplies,genuine-company,False
BMLL.NS,Pharmaceuticals & Biotechnology,genuine-company,False
BMWVENTLTD.NS,Metals & Mining,genuine-company,False
BODALCHEM.NS,Chemicals & Petrochemicals,genuine-company,False
BOHRAIND.NS,Fertilizers,genuine-company,False
BOMDYEING.NS,Textiles Apparels & Accessories,genuine-company,False
BORANA.NS,Textiles Apparels & Accessories,genuine-company,False
BOROLTD.NS,Consumer Durables,genuine-company,False
BOROSCI.NS,Commercial Services & Supplies,genuine-company,False
BOSCH-HCIL.NS,Consumer Durables,genuine-company,False
BOSS.NS,General Industrials,genuine-company,False
BPL.NS,Consumer Durables,genuine-company,False
BRACEPORT.NS,Transportation,genuine-company,False
BRANDMAN.NS,Retailing,genuine-company,False
BRIGHOTEL.NS,Hotels Restaurants & Tourism,genuine-company,False
BRNL.NS,Cement and Construction,genuine-company,False
BROOKS.NS,Pharmaceuticals & Biotechnology,genuine-company,False
BSHSL.NS,"Food, Beverages & Tobacco",genuine-company,False
BSL.NS,Textiles Apparels & Accessories,genuine-company,False
BTML.NS,Media,genuine-company,False
BULKCORP.NS,Commercial Services & Supplies,genuine-company,False
BUTTERFLY.NS,Consumer Durables,genuine-company,False
BVCL.NS,Cement and Construction,genuine-company,False
C2C.NS,General Industrials,genuine-company,False
CALSOFT.NS,Software & Services,genuine-company,False
CAMLINFINE.NS,Chemicals & Petrochemicals,genuine-company,False
CAMS.NS,Software & Services,genuine-company,True
CANARYS.NS,Software & Services,genuine-company,False
CANTABIL.NS,Textiles Apparels & Accessories,genuine-company,False
CAPACITE.NS,Cement and Construction,genuine-company,False
CARRARO.NS,Automobiles & Auto Components,genuine-company,False
CARYSIL.NS,Consumer Durables,genuine-company,False
CCAVENUE.NS,Software & Services,genuine-company,True
CCCL.NS,Cement and Construction,genuine-company,False
