symbol,name,sector
EMKAYTOOLS,,General Industrials
EMMBI,,Commercial Services & Supplies
EMMIL,,General Industrials
EMSLIMITED,,Utilities
EMUDHRA,,Commercial Services & Supplies
ENCOMPAS,,Textiles Apparels & Accessories
ENERGYDEV,,Utilities
ENFUSE,,Software & Services
ENIL,,Media
ENSER,,Software & Services
ENVIRO,,General Industrials
EPACK,,Consumer Durables
EPACKPEB,,Cement and Construction
EPIGRAL,,Chemicals & Petrochemicals
EPWINDIA,,Hardware Technology & Equipment
EQUIPPP,,Software & Services
ESABINDIA,,General Industrials
ESCONET,,Software & Services
ESFL,,Diversified Consumer Services
ESSARSHPNG,,Transportation
ESTER,,Commercial Services & Supplies
ETL,,General Industrials
ETML,,Automobiles & Auto Components
EUROBOND,,Metals & Mining
EUROPRATIK,,Diversified Consumer Services
EUROTEXIND,,Textiles Apparels & Accessories
EVEREADY,,Consumer Durables
EVERESTIND,,Cement and Construction
EXCELINDUS,,Chemicals & Petrochemicals
EXCELLENT,,Metals & Mining
EXCELSOFT,,Software & Services
EXICOM,,Utilities
EXIMROUTES,,Commercial Services & Supplies
EXPLEOSOL,,Software & Services
EXXARO,,Consumer Durables
FABTECH,,Commercial Services & Supplies
FAIRCHEMOR,,Chemicals & Petrochemicals
FALCONTECH,,Commercial Services & Supplies
FAZE3Q,,Textiles Apparels & Accessories
FCL,,Chemicals & Petrochemicals
FCSSOFT,,Software & Services
FDC,,Pharmaceuticals & Biotechnology
FEL,,Retailing
FELDVR,,Retailing
FELIX,,General Industrials
FIBERWEB,,Textiles Apparels & Accessories
FIDEL,,Software & Services
FILATEX,,Textiles Apparels & Accessories
FILATFASH,,Textiles Apparels & Accessories
FINEORG,,Chemicals & Petrochemicals
FISCHER,,Chemicals & Petrochemicals
FLAIR,,Commercial Services & Supplies
FLEXITUFF,,Textiles Apparels & Accessories
FLFL,,Retailing
FLYSBS,,Transportation
FMGOETZE,,Automobiles & Auto Components
FMNL,,Commercial Services & Supplies
FOCE,,Textiles Apparels & Accessories
FOCUS,,Consumer Durables
FONEBOX,,Retailing
FOODSIN,,"Food, Beverages & Tobacco"
FORCAS,,Textiles Apparels & Accessories
FORGEAUTO,,General Industrials
FOSECOIND,,Chemicals & Petrochemicals
FRACTAL,,Software & Services
FRESHARA,,"Food, Beverages & Tobacco"
FROG,,Telecommunications Equipment
FWSTC,,Diversified Consumer Services
GAJANAND,,Commercial Services & Supplies
GALAPREC,,General Industrials
GALAXYSURF,,Chemicals & Petrochemicals
GANDHAR,,Oil & Gas
GANDHITUBE,,Metals & Mining
GANECOS,,Textiles Apparels & Accessories
GANESHBE,,Chemicals & Petrochemicals
GANESHCP,,FMCG
GANESHHOU,,Realty
GANESHIN,,Cement and Construction
GANGABATH,,Consumer Durables
GANGAFORGE,,General Industrials
GANGESSECU,,"Food, Beverages & Tobacco"
GARFIBRES,,Textiles Apparels & Accessories
GARUDA,,Cement and Construction
GATEWAY,,Transportation
GAUDIUMIVF,,Commercial Services & Supplies
GAYAHWS,,Cement and Construction
GAYAPROJ,,Cement and Construction
GCHOTELS,,Hotels Restaurants & Tourism
GEECEE,,Realty
GEEKAYWIRE,,Metals & Mining
GEMAROMA,,Chemicals & Petrochemicals
GENCON,,Realty
GENESYS,,Software & Services
GENSOL,,Cement and Construction
GENUSPAPER,,Commercial Services & Supplies
GENUSPOWER,,Consumer Durables
GENXAI,,Software & Services
GFLLIMITED,,Diversified
GFSTEELS,,Metals & Mining
GGBL,,Utilities
GHCLTEXTIL,,Textiles Apparels & Accessories
GICL,,Transportation
GILLANDERS,,"Food, Beverages & Tobacco"
GINNIFILA,,Textiles Apparels & Accessories
GIPCL,,Utilities
GIRIRAJ,,Cement and Construction
GJL,,Textiles Apparels & Accessories
GKENERGY,,General Industrials
GKSL,,Healthcare
GLOBAL,,Diversified Consumer Services
GLOBALE,,Textiles Apparels & Accessories
GLOBALPET,,General Industrials
GLOBALVECT,,Transportation
GLOBE,,Textiles Apparels & Accessories
GLOBECIVIL,,Cement and Construction
GLOBUSSPR,,"Food, Beverages & Tobacco"
GLOSTERLTD,,Forest Materials
GLOTTIS,,Transportation
GMBREW,,"Food, Beverages & Tobacco"
GML,,Healthcare
GNA,,Automobiles & Auto Components
GOACARBON,,Oil & Gas
GOCLCORP,,Oil & Gas
GOCOLORS,,Textiles Apparels & Accessories
GODAVARIB,,Chemicals & Petrochemicals
GOKUL,,FMCG
GOODLUCK,,Metals & Mining
GOPAL,,FMCG
GOYALALUM,,Commercial Services & Supplies
GOYALSALT,,"Food, Beverages & Tobacco"
GPECO,,Consumer Durables
GPTHEALTH,,Healthcare
GPTINFRA,,Cement and Construction
GRAPHISAD,,Media
GRCL,,Automobiles & Auto Components
GREENCHEF,,Consumer Durables
GREENLAM,,Diversified Consumer Services
GREENLEAF,,Utilities
GREENPANEL,,Forest Materials
GREENPLY,,Forest Materials
GRETEX,,Commercial Services & Supplies
GRINDWELL,,General Industrials
GRINFRA,,Cement and Construction
GRMOVER,,"Food, Beverages & Tobacco"
GRPLTD,,Automobiles & Auto Components
GSLSU,,Diversified Consumer Services
GSMFOILS,,Commercial Services & Supplies
GSPCROP,,Chemicals & Petrochemicals
GSS,,Software & Services
GSTL,,Software & Services
GTECJAINX,,Software & Services
GTL,,Telecom Services
GTLINFRA,,Telecommunications Equipment
GTPL,,Media
GUFICBIO,,Pharmaceuticals & Biotechnology
GUJALKALI,,Chemicals & Petrochemicals
GUJAPOLLO,,General Industrials
GUJGASLTD,,Utilities
GUJRAFFIA,,Commercial Services & Supplies
GUJTHEM,,Pharmaceuticals & Biotechnology
GULFOILLUB,,Oil & Gas
GULFPETRO,,Oil & Gas
GULPOLY,,Chemicals & Petrochemicals
GURUNANAK,,General Industrials
GVKPIL,,Cement and Construction
GVPIL,,General Industrials
GVPTECH,,Software & Services
HALDER,,"Food, Beverages & Tobacco"
HALEOSLABS,,Pharmaceuticals & Biotechnology
HAPPYFORGE,,General Industrials
HARDWYN,,Consumer Durables
HARIOMPIPE,,Metals & Mining
HARRMALAYA,,Automobiles & Auto Components
HARSHA,,Cement and Construction
HATHWAY,,Media
HATSUN,,FMCG
HCL-INSYS,,Hardware Technology & Equipment
HEADSUP,,Retailing
HEALTHX,,Healthcare
HECPROJECT,,Cement and Construction
HEIDELBERG,,Cement and Construction
HGM,,Software & Services
JISLDVREQS,,General Industrials
KEEPLEARN,,Diversified Consumer Services
MUFTI,,Retailing
PARKHOTELS,,Hotels Restaurants & Tourism
STYLEBAAZA,,Retailing
WHITEFORCE,,Commercial Services & Supplies
